"CONTA_CONTABIL";"DESCRICAO";"ORIENTACOES"
"1.02";"ATIVO NAO CIRCULANTE";
"1.02.01";"REALIZAVEL A LONGO PRAZO";
"1.02.01.01";"CREDITOS E VALORES-LONGO PRAZO";
"1.02.01.01.01";"Clientes-Longo Prazo";"Contas que registram os valores a receber de clientes. Recebe esta classificacao no longo prazo, independente se decorrentes de operacoes  com ou nao partes relacionadas,  no pais ou exterior."
"1.02.01.01.02";"Mutuos com Partes Nao Relacionadas -Ativo- Longo Prazo";"Contas que registram a emprestimos efetuados a partes nao relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12, seja sediada no pais ou exterior.  Juros e encargos decorrentes tambem devem ser registrados nesta conta."
"1.02.01.01.03";"Mutuos com Partes Relacionadas-Ativo-Longo Prazo";"Contas que registram emprestimos efetuados a partes relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12, seja sediada no pais ou exterior.  Juros e encargos decorrentes tambem devem ser registrados nesta conta."
"1.02.01.01.04";"Adiantamento para Futuro Aumento de Capital-Ativo-Longo Prazo";"Contas que registram valores de adiantamento para futuro aumento de capital."
"1.02.01.01.07";"Titulos Patrimoniais Avaliados pelo Custo-Longo Prazo";"Contas que registram os titulos patrimoniais, participacoes societarias, avaliados pelo custo de aquisicao, quando o valor justo nao puder ser aplicado por ausencia de informacoes confiaveis."
"1.02.01.01.09";"Contraprestacao Contingente Ativa - Combinacao de Negocios-Longo Prazo";"Contas que registram a contraprestacao contingente ativa, em uma combinacao de negocios. Em termos gerais, constitui clausula contratual que confere ao adquirente o direito de reaver parte da contraprestacao ja transferida, se certas condicoes especificas venham a ocorrer. Para fins de gerar efeito sobre tratamento fiscal das parcelas integrantes do custo de aquisicao de participacao societaria, deve-se observar os arts. 110/111, Instrucao Normativa SRF no 1.515/2014 ."
"1.02.01.01.10";"Outros Valores Mobiliarios-No Exterior-Longo Prazo";"Contas que registram os creditos a receber no exterior, que nao possuem classificacao adequada no grupo 1.02.01.03. Na data de migracao do valor para o Circulante deve-se observar se ha conta especifica para melhor classificacao."
"1.02.01.01.19";"(-) Outras Contas Retificadoras-Creditos e Valores-Longo Prazo";"Contas que registram parcelas a serem subtraidas do Ativo Nao Circulante que nao possam ser classificadas em outras contas desse plano de contas."
"1.02.01.01.20";"Direitos Creditorios Cedidos -Longo Prazo";"Contas que registram os recebiveis que foram negociados em processos de securitizacao, ou assemelhando, enquanto nao baixados. Ja a securitizadora deve registrar os recebiveis em Direitos Creditorios a Receber(1.01.02.09.25)"
"1.02.01.01.21";"(-) Desagio na Cessao de Titulos-Longo Prazo";"Contas que registram o desagio em recebiveis que foram negociados em processos de securitizacao, ou assemelhando, enquanto nao baixados."
"1.02.01.01.25";"Direitos Creditorios a Receber-Longo Prazo";"Contas que registram os direitos creditorios adquiridos por empresa que exerca atividade de securitizacao ou assemelhantada."
"1.02.01.01.26";"Duplicatas a Receber-Operacoes com Partes Nao Relacionadas-no Pais-Longo Prazo";"Contas que registram os valores a receber de clientes no pais de longo prazo, nao relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intencao de venda os titulos. "
"1.02.01.01.27";"Duplicatas a Receber-Operacoes com Partes Nao Relacionadas-no Exterior-Longo Prazo";"Contas que registram os valores a receber de clientes no exterior de longo prazo, nao relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intencao de venda os titulos.  "
"1.02.01.01.28";"Duplicatas a Receber-Operacoes com Partes Relacionadas-no Pais-Longo Prazo";"Contas que registram os valores a receber de clientes no pais de longo prazo, relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intencao de venda os titulos. "
"1.02.01.01.29";"Duplicatas a Receber-Operacoes com Partes Relacionadas-no Exterior-Longo Prazo";"Contas que registram os valores a receber de clientes no exterior de longo prazo, relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intencao de venda os titulos.  "
"1.02.01.01.50";"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP)-Creditos -Longo Prazo";"Contas que registram os ajustes a valor presente efetuados sobre os creditos a longo prazo, sua contrapartida nao deve ser excluida da Receita Bruta do periodo, mas compor uma deducao, art. 12, Decreto-Lei no 1.598/1977(conta referencial 3.01.01.01.02.10). Referidos valores serao apropriados ao resultado pelo regime de competencia e excluidos do Lucro Real. Nao devem ser controlados em subcontas, mas na Parte B do e-Lalur, sendo seu montante adicionado ao Lucro Real no mesmo periodo em a receita ou resultado da operacao deva ser tributada (art.4o, Lei no 12.973/2014)."
"1.02.01.01.52";"(-) Perdas Estimadas em Creditos de Liquidacao Duvidosa - Longo Prazo";"Contas que registram parcelas a serem subtraidas, correspondentes a valores das perdas estimadas para os creditos de liquidacao duvidosa. "
"1.02.01.01.55";"(-) Perdas por Reducao ao Valor Recuperavel (Impairment)-Creditos e Valores-Longo Prazo";"Contas que registram as perdas incorridas com base em evidencias objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. O registro e dedutibilidade no Lucro Real deve observar os regramentos dispostos nos arts. 24/25, Instrucao Normativa SRF no 1.515/2014"
"1.02.01.01.70";"Subconta-Ajuste a Valor Justo-Creditos -Longo Prazo";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros, inclusive decorrentes apenas de sua mensuracao inicial. . Referidos valores  deverao ser computados na apuracao  Lucro Real quando da alienacao ou baixa do ativo(arts. 49/50,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"1.02.01.01.90";"Subconta-Adocao Inicial-Creditos e Valores-Longo Prazo";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do ativo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Referidos valores  deverao ser computados na apuracao  Lucro Real a medida da realizacao do bem, (arts. 164 e 167,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 1/2). Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"1.02.01.02";"TITULOS E VALORES MOBILIARIOS -NO PAIS";
"1.02.01.02.01";"Titulos para Negociacao-No Pais-Longo Prazo";"Contas que registram ativos financeiros, utilizados em operacoes de hedge ou nao, cuja contraparte ou ambiente negocial tenham sede ou domicilio no pais, sobre os quais ha a intencao de negociacao no curto prazo ou se a mensuracao pelo valor justo diminuir ou eliminar alguma inconsistencia de mensuracao de acordo com a gestao financeira da empresa (fair value option) e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76"
"1.02.01.02.02";"Titulos Disponiveis para Venda-No Pais-Longo Prazo";"Contas que registram ativos financeiros, utilizados em operacoes de hedge ou nao, cuja contraparte ou ambiente negocial tenham sede ou domicilio no pais, sobre os quais nao ha definicao de quando nem quais condicoes vai negocia-los e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Contrapartida das alteracoes no seu valor justo, bem como custos de transacao, devem ser reconhecidos no Patrimonio Liquido ate a realizacao do ativo."
"1.02.01.02.03";"Titulos Mantidos ate o Vencimento-No Pais-Longo Prazo";"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicilio no pais, com pagamentos fixos ou determinaveis e com vencimento fixo, para os quais ha a intencao e a capacidade de se manter ate o vencimento e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Esses titulos sao avaliados pelo metodo de custo amortizado, com os custos de transacao capitalizados ao valor do ativo. Acoes e outros titulos patrimoniais nao devem receber esta classificacao. Titulos publicos e de renda fixa constumam receber esta classificacao."
"1.02.01.02.10";"Debentures emitidas por Partes Relacionada-No Pais-Longo Prazo";"Contas que registram as debentures de longo prazo emitidas por empresas com sede no pais, relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuracao utilizada ou se tais Valores Mobiliarios poderiam ser classificaveis em outras contas mais genericas de ativos financeiros."
"1.02.01.02.11";"Debentures emitidas por Partes Nao Relacionada-No Pais-Longo Prazo";"Contas que registram as debentures de longo prazo emitidas por empresas com sede no pais, nao relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuracao utilizada ou se tais Valores Mobiliarios poderiam ser classificaveis em outras contas mais genericas de ativos financeiros."
"1.02.01.02.14";"Outros Valores Mobiliarios-No Pais-Longo Prazo";"Contas que registram outros valores mobiliarios de longo prazo, cuja contraparte tenha sede ou domicilio   no pais, e que nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. "
"1.02.01.02.15";"Outros Emprestimos e Recebiveis-No Pais-Longo Prazo";"Contas que registram outros emprestimos e recebiveis de longo prazo, cuja contraparte tenha sede ou domicilio   no pais, e que nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Registram-se neste grupo ativos financeiros com pagamentos fixos ou determinaveis nao cotados em um mercado ativo. Esses titulos sao avaliados pelo metodo de custo amortizado, com os custos de transacao capitalizados ao valor do ativo. Instrumentos financeiros representativos da indenizacao, decorrente da exploracao de servicos publicos, constumam receber esta classificacao(item 22, OCPC05)."
"1.02.01.02.16";"Outros Juros a Receber-No Pais-Longo Prazo";"Contas que registram outros juros a receber de longo prazo, cuja contraparte tenha sede ou domicilio   no pais, e que nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. "
"1.02.01.02.50";"(-) Juros a Apropriar Decorrent de Ajuste Valor Presente (AVP) Val. Mobiliarios-No Pais-Longo Prazo";"Contas que registram os ajustes a valor presente efetuados sobre os creditos a longo prazo. Referidos valores serao apropriados ao resultado pelo regime de competencia e excluidos do Lucro Real. Nao devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo periodo em a receita ou resultado da operacao deva ser tributada (art.4o, Lei no 12.973/2014)."
"1.02.01.02.55";"(-) Perdas por Reducao ao Valor Recuperavel (Impairment)-Valores Mobiliarios-No Pais-Longo Prazo";"Contas que registram as perdas incorridas com base em evidencias objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. Os titulos para negociacao nao estao sujeitos a teste de 'impairment'. Esta conta tambem registra as eventuais reversoes, nao se admitindo para titulos patrimoniais. Referidos valores deverao ser adicionados ao Lucro Real, mantidos na Parte B do Lalur ate ocorrencia da alienacao ou baixa do ativo, quando poderao ser excluidos do Lucro Real (art. 32, Lei no 12.973/2014)."
"1.02.01.02.70";"Subconta-Ajuste a Valor Justo-Valores Mobiliarios-No Pais-Longo Prazo";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no pais, inclusive decorrentes apenas de sua mensuracao inicial ou efetuados nos objetos de hedge de valor justo. Os titulos para negociacao e disponiveis para venda devem seguir a mensuracao pelo valor justo ate sua baixa. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da alienacao ou baixa do ativo(arts. 49/53,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"1.02.01.02.90";"Subconta-Adocao Inicial-Valores Mobiliarios-No Pais-Longo Prazo";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do ativo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Referidos valores  deverao ser computados na apuracao  Lucro Real a medida da realizacao do bem, (arts. 164 e 167,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 1/2). Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"1.02.01.03";"TITULOS E VALORES MOBILIARIOS -NO EXTERIOR";
"1.02.01.03.01";"Titulos para Negociacao-No Exterior-Longo Prazo";"Contas que registram ativos financeiros, utilizados em operacoes de hedge ou nao, cuja contraparte ou ambiente negocial tenham sede ou domicilio no exterior, sobre os quais ha a intencao de negociacao no curto prazo ou se a mensuracao pelo valor justo diminuir ou eliminar alguma inconsistencia de mensuracao de acordo com a gestao financeira da empresa (fair value option) e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76."
"1.02.01.03.02";"Titulos Disponiveis para Venda-No Exterior-Longo Prazo";"Contas que registram ativos financeiros, utilizados em operacoes de hedge ou nao, cuja contraparte ou ambiente negocial tenham sede ou domicilio no exterior, sobre os quais nao ha definicao de quando nem quais condicoes vai negocia-los e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Contrapartida das alteracoes no seu valor justo, bem como custos de transacao, devem ser reconhecidos no Patrimonio Liquido ate a realizacao do ativo."
"1.02.01.03.03";"Titulos Mantidos ate o Vencimento-No Exterior-Longo Prazo";"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicilio no exterior, com pagamentos fixos ou determinaveis e com vencimento fixo, para os quais ha a intencao e a capacidade de se manter ate o vencimento e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Esses titulos sao avaliados pelo metodo de custo amortizado, com os custos de transacao capitalizados ao valor do ativo. Acoes e outros titulos patrimoniais nao devem receber esta classificacao. Titulos publicos e de renda fixa constumam receber esta classificacao."
"1.02.01.03.04";"Debentures emitidas por Partes Relacionada-No Exterior-Longo Prazo";"Contas que registram as debentures de longo prazo emitidas por empresas com sede no exterior, relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuracao utilizada ou se tais Valores Mobiliarios poderiam ser classificaveis em outras contas mais genericas de ativos financeiros."
"1.02.01.03.05";"Debentures emitidas por Partes Nao Relacionada-No Exterior-Longo Prazo";"Contas que registram as debentures de longo prazo emitidas por empresas com sede no exterior, nao relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuracao utilizada ou se tais Valores Mobiliarios poderiam ser classificaveis em outras contas mais genericas de ativos financeiros."
"1.02.01.03.06";"Outros Emprestimos e Recebiveis-No Exterior-Longo Prazo";"Contas que registram outros emprestimos e recebiveis de longo prazo, cuja contraparte tenha sede ou domicilio   no exterior, e que nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Registram-se neste grupo ativos financeiros com pagamentos fixos ou determinaveis nao cotados em um mercado ativo. Esses titulos sao avaliados pelo metodo de custo amortizado, com os custos de transacao capitalizados ao valor do ativo. Instrumentos financeiros representativos da indenizacao, decorrente da exploracao de servicos publicos, constumam receber esta classificacao(item 22, OCPC05)."
"1.02.01.03.50";"(-) Juros Apropriar Decorrent. Ajuste Valor Presente(AVP)Valores Mobiliarios-No Exterior-Longo Prazo";"Contas que registram os ajustes a valor presente efetuados sobre os creditos a longo prazo. Referidos valores serao apropriados ao resultado pelo regime de competencia e excluidos do Lucro Real. Nao devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo periodo em a receita ou resultado da operacao deva ser tributada (art.4o, Lei no 12.973/2014), sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF no 213/2002."
"1.02.01.03.55";"(-) Perdas por Reducao ao Valor Recuperavel (Impairment)-Valores Mobiliario-No Exterior-Longo Prazo";"Contas que registram as perdas incorridas com base em evidencias objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. Os titulos para negociacao nao estao sujeitos a teste de 'impairment'. Esta conta tambem registra as eventuais reversoes, nao se admitindo para titulos patrimoniais. Referidos valores deverao ser adicionados ao Lucro Real, mantidos na Parte B do Lalur ate ocorrencia da alienacao ou baixa do ativo, quando poderao ser excluidos do Lucro Real (art. 32, Lei no 12.973/2014), sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF no 213/2002."
"1.02.01.03.70";"Subconta-Ajuste a Valor Justo-Valores Mobiliarios-No Exterior-Longo Prazo";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros, inclusive decorrentes apenas de sua mensuracao inicial. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da alienacao ou baixa do ativo(arts. 49/53,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6) sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF no 213/2002. Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"1.02.01.03.90";"Subconta-Adocao Inicial-Valores Mobiliarios-No Exterior-Longo Prazo";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do ativo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Referidos valores  deverao ser computados na apuracao  Lucro Real a medida da realizacao do bem, (arts. 164 e 167,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 1/2), sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF no 213/2002. Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"1.02.01.05";"ATIVOS FISCAIS DIFERIDOS-LONGO PRAZO";
"1.02.01.05.01";"Creditos Fiscais CSLL-Diferencas Temporarias e Base de Calculo Negativa-Longo Prazo";"Contas que registram o valor do tributo recuperavel em periodo futuro relacionado a diferencas temporarias dedutiveis, compensacao  de bases de calculo negativas de CSLL e compensacao de creditos fiscais. Diferencas temporarias sao divergencias no valor contabil de ativo ou passivo no balanco e sua base fiscal, nos termos do CPC32."
"1.02.01.05.02";"Creditos Fiscais IRPJ-Diferencas Temporarias e Prejuizos Fiscais-Longo Prazo";"Contas que registram o valor do tributo recuperavel em periodo futuro relacionado a diferencas temporarias dedutiveis, compensacao  de prejuizos ficais e compensacao de creditos fiscais. Diferencas temporarias sao divergencias no valor contabil de ativo ou passivo no balanco e sua base fiscal, nos termos do CPC32."
"1.02.01.07";"CREDITOS EM CONTENCIOSO-LONGO PRAZO";
"1.02.01.07.01";"Depositos em Contencioso-Longo Prazo";"Contas que registram os depositos efetuados, decorrentes de demanda contenciosa, a qualquer titulo, pendentes de decisao, que se realizarao em periodo posterior ao exercicio seguinte a data do balanco."
"1.02.01.07.10";"Outros Creditos em Contencioso-Longo Prazo";"Contas que registram creditos decorrentes de demanda contenciosa, de qualquer natureza, pendentes de decisao, que se realizarao em periodo posterior ao exercicio seguinte a data do balanco."
"1.02.01.07.55";"(-) Perdas  por Reducao ao Valor Recuperavel (Impairment)-Creditos em Contencioso-Longo Prazo";"Contas que registram as perdas estimadas com base em evidencias objetivas impactantes no fluxo de caixa futuros estimados desses creditos em contecioso. Esta conta tambem registra as eventuais reversoes. Referidos valores deverao ser adicionados ao Lucro Real, mantidos na Parte B do eLalur ate ocorrencia da alienacao ou baixa do ativo, quando poderao ser excluidos do Lucro Real(art. 32, Lei no 12.973/2014)."
"1.02.01.08";"TRIBUTOS A RECUPERAR-LONGO PRAZO";
"1.02.01.08.01";"IPI a Recuperar-Longo Prazo";"Contas que registram o IPI a recuperar no longo prazo."
"1.02.01.08.02";"ICMS a Recuperar-Longo Prazo";"Contas que registram o ICMS a recuperar no longo prazo."
"1.02.01.08.03";"PIS  a Recuperar-Credito Basico-Longo Prazo";"Contas correspondentes ao PIS a recuperar apos o final do periodo de apuracao seguinte (longo prazo)."
"1.02.01.08.04";"PIS  a Recuperar-Credito Presumido-Longo Prazo";"Contas que registram o PIS a recuperar no longo prazo, decorrente de credito presumido. "
"1.02.01.08.05";"COFINS  a Recuperar-Credito Basico-Longo Prazo";"Contas que registram a COFINS a recuperar  no longo prazo."
"1.02.01.08.06";"COFINS  a Recuperar-Credito Presumido-Longo Prazo";"Contas que registram a COFINS a recuperar  no longo prazo, decorrente de credito presumido. "
"1.02.01.08.07";"CIDE a Recuperar-Longo Prazo";"Contas que registram a CIDE a recuperar no longo prazo."
"1.02.01.08.40";"Outros Impostos e Contribuicoes a Recuperar-Longo Prazo";"Contas que registram  outros impostos e contribuicoes a recuperar no longo prazo. Valores referentes ao ISSQN devem receber esta classificacao. "
"1.02.01.08.50";"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP)-Tributos a Recuperar-Longo Prazo";"Contas que registram os ajustes a valor presente efetuados sobre os tributos a recuperar. Referidos valores serao apropriados ao resultado pelo regime de competencia e excluidos do Lucro Real. Nao devem ser controlados em subcontas, mas na Parte B do eLalur, sendo seu montante adicionado ao Lucro Real no mesmo periodo em a receita ou resultado da operacao deva ser tributada (art.4o, Lei 12.973/2014)."
"1.02.01.08.55";"(-) Perdas  por Reducao ao Valor Recuperavel (Impairment)-Tributos a Recuperar-Longo Prazo";"Contas que registram as perdas estimadas com base em evidencias objetivas impactantes no fluxo de caixa futuros estimados desses tributos a recuperar. Esta conta tambem registra as eventuais reversoes. Referidos valores deverao ser adicionados ao Lucro Real, mantidos na Parte B do eLalur ate ocorrencia da alienacao ou baixa do ativo, quando poderao ser excluidos do Lucro Real (art. 32, Lei 12.973/2014)."
"1.02.01.09";"DESPESAS PAGAS ANTECIPADAMENTE-LONGO PRAZO";
"1.02.01.09.01";"Alugueis pagos Antecipadamente-Longo Prazo";"Contas que registram  pagamentos antecipados de alugueis, cujos beneficios a pessoa juridica ocorrerao em periodo posterior ao exercicio seguinte a data do balanco. Sao valores relativos a despesas que efetivamente pertencem a periodo posterior ao exercicio seguinte a data do balanco."
"1.02.01.09.02";"Premios de Seguros a Apropriar-Longo Prazo";"Contas que registram  pagamentos antecipados de premios de seguros, cujos beneficios a pessoa juridica ocorrerao durante o exercicio seguinte. Sao valores relativos a despesas que efetivamente pertencem a periodo posterior ao exercicio seguinte a data do balanco."
"1.02.01.09.03";"Encargos Financeiros a Apropriar -Longo Prazo";"Contas que registram  pagamentos antecipados de despesas financeiras, cujos beneficios a pessoa juridica ocorrerao apos termino do exercicio seguinte. Sao valores relativos a despesas que efetivamente pertencem a periodos posteriores ao exercicio seguinte."
"1.02.01.09.09";"Outros Custos e Despesas Pagos Antecipadamente-Longo Prazo";"Contas que registram   demais pagamentos antecipados, que nao possuem classificacao especifica neste plano de contas, cujos beneficios ou prestacao de servicos a pessoa juridica ocorrerao durante o exercicio seguinte. Sao valores relativos a despesas que efetivamente pertencem a periodo posterior ao exercicio seguinte a data do balanco."
"1.02.01.10";"ATIVO BIOLOGICO-LONGO PRAZO";
"1.02.01.10.01";"Ativo Biologico Consumivel-Origem Animal-Pelo Valor Justo-Longo Prazo";"Contas que registram, nas empresas com atividade rural,  os  ativos biologicos consumiveis de origem animal, quando avaliados a valor justo. Nos termos do item 44 do CPC 29, seriam aqueles passiveis de serem colhidos como produto agricola ou vendidos como ativos biologicos, como rebanhos de animais mantidos para a producao de carne, rebanhos mantidos para a venda, producao de peixe etc. Os produtos agricolas devem receber classificacao de estoques."
"1.02.01.10.02";"Ativo Biologico Consumivel-Origem Vegetal-Pelo Valor Justo-Longo Prazo";"Contas que registram, nas empresas com atividade rural, os ativos biologicos consumiveis de origem vegetal, quando avaliados a valor justo. Nos termos do item 44 do CPC 29, seriam aqueles passiveis de ser vendidos como ativos biologicos, como plantacoes de milho, cana-de-acucar, soja, arvores para producao de madeira etc. Os produtos agricolas devem receber classificacao de estoques."
"1.02.01.10.10";"Ativo Biologico Consumivel-Origem Animal-Pelo Custo-Longo Prazo";"Contas que registram, nas empresas com atividade rural,  os  ativos biologicos consumiveis de origem animal, nos casos em que nao seja possivel mensura-los ao valor justo, somente no reconhecimento inicial, devido a indisponibilidade de cotacao de mercado e as alternativas nao sao, claramente, confiaveis. A pessoa juridica que tenha mensurado previamente o ativo biologico ao seu valor justo, menos a despesa de venda, continuara a mensura-lo assim ate a sua venda. Nos termos do item 44 do CPC 29, seriam aqueles passiveis de serem colhidos como produto agricola ou vendidos como ativos biologicos, como rebanhos de animais mantidos para a producao de carne, rebanhos mantidos para a venda, producao de peixe etc. Os produtos agricolas devem receber classificacao de estoques."
"1.02.01.10.11";"Ativo Biologico Consumivel-Origem Vegetal-Pelo Custo-Longo Prazo";"Contas que registram, nas empresas com atividade rural,  os  ativos biologicos consumiveis de origem animal, nos casos em que nao seja possivel mensura-los ao valor justo, somente no reconhecimento inicial, devido a indisponibilidade de cotacao de mercado e as alternativas nao sao, claramente, confiaveis. A pessoa juridica que tenha mensurado previamente o ativo biologico ao seu valor justo, menos a despesa de venda, continuara a mensura-lo assim ate a sua venda. Nos termos do item 44 do CPC 29, seriam aqueles passiveis de serem colhidos como produto agricola ou vendidos como ativos biologicos, como plantacoes de milho, cana-de-acucar, soja, arvores para producao de madeira etc. Os produtos agricolas devem receber classificacao de estoques."
"1.02.01.10.55";"(-) Perdas  por Reducao ao Valor Recuperavel (Impairment)-Ativos Biologicos Consumivel-Longo Prazo";"Contas que registram as perdas estimadas com base em evidencias objetivas que demonstrem a nao recuperabilidade do valor contabil destes ativos biologicos. Esta conta tambem registra as eventuais reversoes. Referidos valores deverao ser adicionados ao Lucro Real, mantidos na Parte B do eLalur ate ocorrencia da alienacao ou baixa do ativo, quando poderao ser excluidos do Lucro Real(art. 32, Lei  no 12.973/2014)."
